Folk,PAV,SSV,MSV,generated_lyric,genre,Jazz,Metal,Pop,R&B,Rap,Rock,Soul,genre_class_act,genre_class_pred,correct_classifcation
"oh, the gentlemen are talking and the midnight moon is on the riverside 
 they’re drinking for the corn,care 
 
 Some great women 
 Some get mended 
 Some and a matching 
 Who knew where the plate 
 Seemed the light 
 Of the bell 
 And the wind is blowing 
 And the trucks is done 
 And it won't be so blessed 
 And you know that we can be 
 And we will sing, our own mortuary 
 We will see the world of the wind 
 We will be the way that we live 
 
 The things that we can talk to 
 I know that I know it's",0.3645596854692696,1.0,0.4900024972442033,"oh the gentlemen are talking and the midnight moon is on the riverside 
 they’re drinking for the corncare 
 
 some great women 
 some get mended 
 some and a matching 
 who knew where the plate 
 seemed the light 
 of the bell 
 and the wind is blowing 
 and the trucks is done 
 and it won't be so blessed 
 and you know that we can be 
 and we will sing our own mortuary 
 we will see the world of the wind 
 we will be the way that we live 
 
 the things that we can talk to 
 i know that i know it's",Folk,,,,,,,,0,0,1
"long john silver, he was on me like a rash 
 i gave him my trust, I did 
 And I was born to see 
 I can't believe that I love you 
 I don't know what I do 
 I have to make it all 
 And I know that you can do 
 I know I can't say it 
 I don't know what I do 
 Honey, I never will 
 If you don't know what I am 
 I know it's true 
 I don't know what I've heard 
 I don't need it 
 Confusing the way that you see 
 I know that you can be 
 I don't",0.3748592560735218,0.9831805764679272,0.4556315514255356,"long john silver he was on me like a rash 
 i gave him my trust i did 
 and i was born to see 
 i can't believe that i love you 
 i don't know what i do 
 i have to make it all 
 and i know that you can do 
 i know i can't say it 
 i don't know what i do 
 honey i never will 
 if you don't know what i am 
 i know it's true 
 i don't know what i've heard 
 i don't need it 
 confusing the way that you see 
 i know that you can be 
 i don't",Folk,,,,,,,,0,7,0
"i know you and ""i'll"" agree 
 what this world needs is a lot more me 
 Love, love, love, love must've 
 Oh love, sweet love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh love 
 Oh",0.9180448250284556,0.998664720578518,0.518658763550276,"i know you and i'll agree 
 what this world needs is a lot more me 
 love love love love must've 
 oh love sweet love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh love 
 oh",Folk,,,,,,,,0,4,0
"""ain't"" no thing 
 i got to say to you 
 ""ain't"" no game 
 that don't know what they do 
 If you don't want me to hear me, you want to go 
 Do you want to sing your mind 
 Just to see you smile 
 If you want to be alone 
 You can be missin' it's fine, 
 And I am not a quiet man 
 When the Yanks I die 
 And the skies came, too wide 
 And the stars is in the dawn 
 And the sun never be 
 When he tumbles in the winter 
 And he cries 
 And he lies out of the river",0.3363269294743198,0.9567442792782082,0.4393238078024504,"ain't no thing 
 i got to say to you 
 ain't no game 
 that don't know what they do 
 if you don't want me to hear me you want to go 
 do you want to sing your mind 
 just to see you smile 
 if you want to be alone 
 you can be missin' it's fine 
 and i am not a quiet man 
 when the yanks i die 
 and the skies came too wide 
 and the stars is in the dawn 
 and the sun never be 
 when he tumbles in the winter 
 and he cries 
 and he lies out of the river",Folk,,,,,,,,0,1,0
"the sea so deep and blind 
 the sun, the wild regret 
 the club, the harder 
 And the band puma was having the trees 
 And the he was in the harbor 
 And the gin was a-getting' and the trees was there 
 And I took her down the hand, 
 But I was feelin' a maiden 
 To you the bet 
 Who had to know 
 That I cannot be alone 
 But I should have been a friend 
 But I had the nerve of the time 
 And I was lookin' for a time 
 I was so much older then 
 I saw the campfire gleaming 
 I",0.3398402859131585,0.9639185531531682,0.4412920761487361,"the sea so deep and blind 
 the sun the wild regret 
 the club the harder 
 and the band puma was having the trees 
 and the he was in the harbor 
 and the gin was agetting' and the trees was there 
 and i took her down the hand 
 but i was feelin' a maiden 
 to you the bet 
 who had to know 
 that i cannot be alone 
 but i should have been a friend 
 but i had the nerve of the time 
 and i was lookin' for a time 
 i was so much older then 
 i saw the campfire gleaming 
 i",Folk,,,,,,,,0,1,0
"i met a friend of spirit 
 he drank and womanized 
 and i sat before 
 And he was in the most 
 And he was just a tragic 
 She wore and he was a species foot 
 And he said he couldn't come back 
 Then he asks up the door 
 And he smokin' his money down 
 And he asked me he said 
 He was just a Pima 
 And he asked me how to live 
 And his arms was the favors 
 And he was a letter 
 So he knows the other 
 And he will not turn him down 
 And he knows the hoochie coochie",0.3447303043113197,0.9733048245976712,0.4330557323675677,"i met a friend of spirit 
 he drank and womanized 
 and i sat before 
 and he was in the most 
 and he was just a tragic 
 she wore and he was a species foot 
 and he said he couldn't come back 
 then he asks up the door 
 and he smokin' his money down 
 and he asked me he said 
 he was just a pima 
 and he asked me how to live 
 and his arms was the favors 
 and he was a letter 
 so he knows the other 
 and he will not turn him down 
 and he knows the hoochie coochie",Folk,,,,,,,,0,0,1
"wow, wow, wow 
 wow, wow, wow 
 wow, wow, wow, wow, wow 
 well, ""i'm"" 
 And kitty don't 
 I don't care 
 I don't know 
 I don't know 
 I don't know 
 I don't know what I am 
 I don't know what I'm doing 
 I can give you faith to him 
 I just can't find another word 
 I will understand 
 What I have to do 
 If I could be happy 
 If you look at my life 
 And I don't know if I could stop 
 I know that we could be free 
 I know that I love you 
 I love you",0.5482336963858703,1.0,0.483256622171244,"wow wow wow 
 wow wow wow 
 wow wow wow wow wow 
 well i'm 
 and kitty don't 
 i don't care 
 i don't know 
 i don't know 
 i don't know 
 i don't know what i am 
 i don't know what i'm doing 
 i can give you faith to him 
 i just can't find another word 
 i will understand 
 what i have to do 
 if i could be happy 
 if you look at my life 
 and i don't know if i could stop 
 i know that we could be free 
 i know that i love you 
 i love you",Folk,,,,,,,,0,7,0
"hard bodies 
 soft emotions 
 so fast 
 so smart 
 the world is at 
 When the morning breaks 
 The moon shines to the sky 
 And the moon swept the trees 
 Beyond the forest 
 That's the way that you love 
 That's the way that you love 
 That's the way that you feel 
 What you like you got a two-piece 
 You just got to run, you got to eat 
 Get to the darkness 
 You can get my own 
 And you know I can 
 And I'm longing 
 But you know I gotta get outta you 
 I can see 
 I can see",0.3965709995833351,0.9721710639380832,0.4637412267656596,"hard bodies 
 soft emotions 
 so fast 
 so smart 
 the world is at 
 when the morning breaks 
 the moon shines to the sky 
 and the moon swept the trees 
 beyond the forest 
 that's the way that you love 
 that's the way that you love 
 that's the way that you feel 
 what you like you got a twopiece 
 you just got to run you got to eat 
 get to the darkness 
 you can get my own 
 and you know i can 
 and i'm longing 
 but you know i gotta get outta you 
 i can see 
 i can see",Folk,,,,,,,,0,0,1
"(clap your hands ! ) 
 well, life on the farm is kinda laid back 
 And I think you got a thing to me 
 Coming unexpectedly in the dark 
 I guess you had to be 
 I said that you were the best of you 
 I was thinking about you 
 I was thinking about you 
 I was a blindfolded bumblebee 
 I was a fool to care 
 But I knew you were a fool 
 I was a fool to care 
 I was a fool to care 
 But a man was a fool to care 
 I was a fool to care 
 (I was a fool",0.5016731786440636,0.9782792105662136,0.4592823709805352,"clap your hands !  
 well life on the farm is kinda laid back 
 and i think you got a thing to me 
 coming unexpectedly in the dark 
 i guess you had to be 
 i said that you were the best of you 
 i was thinking about you 
 i was thinking about you 
 i was a blindfolded bumblebee 
 i was a fool to care 
 but i knew you were a fool 
 i was a fool to care 
 i was a fool to care 
 but a man was a fool to care 
 i was a fool to care 
 i was a fool",Folk,,,,,,,,0,0,1
"hearts were exploding around us as we drifted south down the bay 
 the gray up and the blankets 
 And the sun begins to shine 
 And the children are worth 
 And the wind is blowing 
 And the sky is crimson 
 And the trucks will be larger 
 
 If you know I can cry 
 Anything and the sun 
 So I have to dance with you 
 I know that you can be 
 Whoever you stay 
 And you know I don't know 
 I can't believe you were so much 
 I think I know 
 I believe I was there 
 I was so much to you",0.3711213695183179,1.0,0.4495259189780035,"hearts were exploding around us as we drifted south down the bay 
 the gray up and the blankets 
 and the sun begins to shine 
 and the children are worth 
 and the wind is blowing 
 and the sky is crimson 
 and the trucks will be larger 
 
 if you know i can cry 
 anything and the sun 
 so i have to dance with you 
 i know that you can be 
 whoever you stay 
 and you know i don't know 
 i can't believe you were so much 
 i think i know 
 i believe i was there 
 i was so much to you",Folk,,,,,,,,0,7,0
"children carry through the streets 
 a brightly painted star 
 angels gather ""'round"" the hearth 
 The blinding cry 
 In Exxon dreams, 
 And the little Oysters 
 And it's overturned 
 And the night 
 Glory be in yesterday 
 And the cider's laced 
 And the sea is high 
 And the moon is high 
 And the night wind is fragrant 
 
 And the moon is swimming a tear 
 I am in the buildings 
 Sitting on the Carousel) 
 I want to see the flowers 
 I don't care if I ever see 
 I can see it again, 
 I can give it a dream 
 I",0.3118038651769351,1.0,0.4367378213314995,"children carry through the streets 
 a brightly painted star 
 angels gather 'round the hearth 
 the blinding cry 
 in exxon dreams 
 and the little oysters 
 and it's overturned 
 and the night 
 glory be in yesterday 
 and the cider's laced 
 and the sea is high 
 and the moon is high 
 and the night wind is fragrant 
 
 and the moon is swimming a tear 
 i am in the buildings 
 sitting on the carousel 
 i want to see the flowers 
 i don't care if i ever see 
 i can see it again 
 i can give it a dream 
 i",Folk,,,,,,,,0,0,1
"""i'd"" love to speak with leonard 
 ""he's"" a sportsman and a shepherd 
 ""he's"" a little garden, 
 Where the wind runs down 
 When the sun come in 
 And the wind is Germany's 
 And the morning breaks 
 In the sky 
 In the sky 
 In the night 
 The night 
 I was born 
 I was born in East Virginia 
 I was employed and it was a little girl 
 I was workin' up to the floor and hid 
 I was a Louisiana of the seventh 
 I was young and a great 
 I was a young man 
 I was a blindfolded bumblebee 
 He",0.4280088186381475,0.9642943902718504,0.4531195292001376,"i'd love to speak with leonard 
 he's a sportsman and a shepherd 
 he's a little garden 
 where the wind runs down 
 when the sun come in 
 and the wind is germany's 
 and the morning breaks 
 in the sky 
 in the sky 
 in the night 
 the night 
 i was born 
 i was born in east virginia 
 i was employed and it was a little girl 
 i was workin' up to the floor and hid 
 i was a louisiana of the seventh 
 i was young and a great 
 i was a young man 
 i was a blindfolded bumblebee 
 he",Folk,,,,,,,,0,0,1
"who shook the stars from her eyes 
 who shook the stars from her eyes 
 And the waves of the day 
 She once was a true love of mine 
 I was a blindfolded bumblebee 
 And it was just a little bit 
 I was dying for you 
 I was just a fool 
 I was a fool to care 
 I was a fool to care 
 I was a fool to care 
 I was a fool to care 
 (I was a fool to care) 
 (I was a fool to care) 
 (I was a fool to care) You weren't nothing but a fool to care 
 (I",0.6378872950312692,0.9823122487495536,0.4999303409178447,"who shook the stars from her eyes 
 who shook the stars from her eyes 
 and the waves of the day 
 she once was a true love of mine 
 i was a blindfolded bumblebee 
 and it was just a little bit 
 i was dying for you 
 i was just a fool 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care you weren't nothing but a fool to care 
 i",Folk,,,,,,,,0,7,0
"i had a king in a tenement castle 
 lately ""he's"" taken to painting the pastel and go crazy 
 ""And my suitcase in the Highlands of the sun 
 And the red pines is in the land 
 With the tombstone blues 
 And the streets of the beaches 
 And the unstitched 
 And the railroads 
 The goslings and the Crab 
 And the soul 
 And the trucks was a-getting' 
 And the railroads left of the sky 
 Have you look down to the bone 
 That you don't even know 
 You just do anything to get lost 
 That you don't know what you've got 'til it's gone ?",0.3991631317309948,0.9700311204928918,0.4494072380676535,"i had a king in a tenement castle 
 lately he's taken to painting the pastel and go crazy 
 and my suitcase in the highlands of the sun 
 and the red pines is in the land 
 with the tombstone blues 
 and the streets of the beaches 
 and the unstitched 
 and the railroads 
 the goslings and the crab 
 and the soul 
 and the trucks was agetting' 
 and the railroads left of the sky 
 have you look down to the bone 
 that you don't even know 
 you just do anything to get lost 
 that you don't know what you've got 'til it's gone ?",Folk,,,,,,,,0,0,1
"ye sons of britain 
 who once were free 
 ye now are slaves to factory 
 And we have died 
 We are Britania, jewel the truth 
 Half of a band 
 And a cup of a lion 
 And a heavenly phone in the air 
 And the whole damn of a man 
 And the sun sets on the moon 
 And the day returns the sky 
 And the moon is all over 
 And the morning breaks the trees 
 The wind was corn, 
 And the wind whistled the breast 
 And the gin was a-getting' low 
 And the moon swept and the 
 I been speaking to",0.2934760292250317,0.9578634504831252,0.4051162514124647,"ye sons of britain 
 who once were free 
 ye now are slaves to factory 
 and we have died 
 we are britania jewel the truth 
 half of a band 
 and a cup of a lion 
 and a heavenly phone in the air 
 and the whole damn of a man 
 and the sun sets on the moon 
 and the day returns the sky 
 and the moon is all over 
 and the morning breaks the trees 
 the wind was corn 
 and the wind whistled the breast 
 and the gin was agetting' low 
 and the moon swept and the 
 i been speaking to",Folk,,,,,,,,0,0,1
"please daddy, ""don't"" get drunk this christmas 
 i ""don't"" wanna see my mumma cry 
 Strawberry pie, Gooseberry puddin' the jungle camp 
 The rain walks all on the Word 
 And the sweet meat 
 And the wind was blowing 
 And the rivers 
 They never made 
 The trains of the rain 
 And the railroads 
 I can hear the whistle 
 The system in the way... 
 And the place and the moon 
 In the sticky of the moon 
 And the trucks that is hard 
 And the sky is blowing 
 And the moon are squeaky 
 And the heart will be greener 
 It's never going",0.3197450545993425,0.970464190022148,0.4044749399373649,"please daddy don't get drunk this christmas 
 i don't wanna see my mumma cry 
 strawberry pie gooseberry puddin' the jungle camp 
 the rain walks all on the word 
 and the sweet meat 
 and the wind was blowing 
 and the rivers 
 they never made 
 the trains of the rain 
 and the railroads 
 i can hear the whistle 
 the system in the way 
 and the place and the moon 
 in the sticky of the moon 
 and the trucks that is hard 
 and the sky is blowing 
 and the moon are squeaky 
 and the heart will be greener 
 it's never going",Folk,,,,,,,,0,0,1
"i am on a lonely road and i am traveling 
 traveling, traveling, traveling 
 looking lonely, up the wall 
 Nothings the workers of the canyon 
 The insulting are all aglow 
 The one who's coming out of the wind 
 And the time to keep the wheel 
 And the morning glory 
 And the moon swept on the water 
 It's a mighty fine way to be 
 And a dust bowl refugee 
 And the big shepherd boy to the sea 
 I was a young girl with a bottle in her hand 
 Iwas the road to the eighteenth of her face 
 Who could be a sailor 
 And",0.2680920036946087,1.0,0.4090399637856539,"i am on a lonely road and i am traveling 
 traveling traveling traveling 
 looking lonely up the wall 
 nothings the workers of the canyon 
 the insulting are all aglow 
 the one who's coming out of the wind 
 and the time to keep the wheel 
 and the morning glory 
 and the moon swept on the water 
 it's a mighty fine way to be 
 and a dust bowl refugee 
 and the big shepherd boy to the sea 
 i was a young girl with a bottle in her hand 
 iwas the road to the eighteenth of her face 
 who could be a sailor 
 and",Folk,,,,,,,,0,0,1
"on a snow covered night 
 up in eastern wyoming 
 another lazy day 
 ""lookin'"" miles 
 Lay me down 
 Don't let me catch me 
 Don't let me down 
 Don't let me be misunderstood Jackhammer 
 I won't be true 
 I'll never be untru 
 And if I will be there 
 To be all alone 
 I will never die 
 And I know how a man 
 I can see it in your eyes 
 I can be home through the night 
 I can hear the moans 
 I can hear the path, 
 I can puthout the best 
 But I don't know how to go 
",0.3616050929177635,1.0,0.4540792164395896,"on a snow covered night 
 up in eastern wyoming 
 another lazy day 
 lookin' miles 
 lay me down 
 don't let me catch me 
 don't let me down 
 don't let me be misunderstood jackhammer 
 i won't be true 
 i'll never be untru 
 and if i will be there 
 to be all alone 
 i will never die 
 and i know how a man 
 i can see it in your eyes 
 i can be home through the night 
 i can hear the moans 
 i can hear the path 
 i can puthout the best 
 but i don't know how to go 
",Folk,,,,,,,,0,1,0
